epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1595,1.50366,1.64543,1.87311,1.33841,0.60995,0.51214,0.49027,0.27999,0.51914,0.43689,0.35933,0.0907,1.59899,1.34356,1.78621,1.28838,0.000663366,0.000663366,0.000663366
2,64.0134,1.50413,1.36917,1.57781,1.31265,0.6603,0.54248,0.53844,0.30311,0.54043,0.43932,0.35106,0.09039,1.55626,1.21421,1.70009,1.21893,0.00119836,0.00119836,0.00119836
3,99.8141,1.47261,1.34184,1.45636,1.29341,0.59138,0.49179,0.51312,0.31158,0.51773,0.42233,0.391,0.10645,1.50305,1.17634,1.68093,1.19626,0.00160135,0.00160135,0.00160135
4,132.77,1.38133,1.31917,1.35733,1.25912,0.75998,0.59562,0.62168,0.40744,0.66875,0.51578,0.47703,0.13876,1.28598,1.11627,1.35126,1.09264,0.001406,0.001406,0.001406
5,165.228,1.24258,1.27979,1.2342,1.18171,0.79333,0.57039,0.61036,0.39734,0.68201,0.49455,0.45467,0.12172,1.28989,1.14279,1.29843,1.07722,0.001208,0.001208,0.001208
6,196.271,1.16938,1.2417,1.17809,1.16324,0.7872,0.60922,0.64254,0.45162,0.70137,0.5444,0.50408,0.14863,1.14713,1.10487,1.17227,1.02662,0.00101,0.00101,0.00101
7,227.425,1.0765,1.19886,1.08341,1.1288,0.80944,0.61859,0.66789,0.48304,0.69518,0.53034,0.50151,0.1499,1.08264,1.07129,1.11483,1.01198,0.000812,0.000812,0.000812
8,258.249,1.00667,1.18214,1.02242,1.10293,0.82849,0.62139,0.68657,0.51054,0.76214,0.57163,0.57351,0.17406,1.00729,1.03681,1.01742,0.97619,0.000614,0.000614,0.000614
9,288.464,0.94652,1.164,0.96761,1.08357,0.82485,0.63835,0.69856,0.52076,0.76888,0.58617,0.58332,0.18206,0.98225,1.01684,0.98813,0.96452,0.000416,0.000416,0.000416
10,320.08,0.86905,1.1263,0.89885,1.05614,0.81908,0.65382,0.71722,0.55376,0.79068,0.58981,0.60775,0.19463,0.90338,1.00972,0.93988,0.93241,0.000218,0.000218,0.000218
